Country Name,Country Code,Series Name,Series Code,Version Name,Version Code,1960 [YR1960],1970 [YR1970]
Lesotho,LSO,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,197.376295318364,267.15875343278
Liberia,LBR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,767.595700580843,976.864857217965
Libya,LBY,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Liechtenstein,LIE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,46366.656504346
Lithuania,LTU,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Low income,LIC,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Luxembourg,LUX,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,21613.5814933117,27550.1876692366
"Macao SAR, China",MAC,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Madagascar,MDG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,475.498701328179,495.71197017824
Malawi,MWI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,138.111030837989,171.519661439199
Malaysia,MYS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,986.483930890057,1383.28818545931
Maldives,MDV,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Mali,MLI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,247.019283558994
Malta,MLT,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,3003.48489630419
Marshall Islands,MHL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Martinique,MTQ,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Mauritania,MRT,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,509.580065141315,835.057298486472
Mauritius,MUS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Mayotte,MYT,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
